method,total_energy_units,comfort_penalty,switch_count,avg_thi_after,max_thi_after,objective,runtime_ms,visited_nodes,level_sequence
Dynamic Programming,32.6,6.353687867700588,3,76.20062363157895,76.80325099999999,39.613687867700584,83.96260000881739,292,1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 1 1
BFS Berlapis,32.6,6.353687867700588,3,76.20062363157895,76.80325099999999,39.613687867700584,7.83919999958016,292,1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 1 1
DFS Bermemoisasi,32.6,6.353687867700588,3,76.20062363157895,76.80325099999999,39.613687867700584,27.281500020762905,292,1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 1 1
Greedy,31.2,7.427217923452783,5,76.27827468421053,76.80325099999999,39.727217923452784,4.3855000112671405,76,1 1 1 1 1 1 1 1 1 1 2 1 2 2 2 2 2 1 1
Fuzzy Logic,49.400000000000006,0.19720500275518837,2,75.27577889473685,76.32625999999999,50.037205002755194,3.4360999998170882,133,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
